央视,#genre#
CCTV-17农村农业,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8#http://mqiptv.com:8014/ch/custom63/mqlive.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000#https://tv.iill.top/cqyx/cctv17HD#https://cntv.sbs/tv?auth=2310201855&id=cctv17
CGTN,http://mqiptv.com:8014/ch/custom6/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8#https://live.cgtn.com/1000/prog_index.m3u8#https://livear.cgtn.com/1000a/prog_index.m3u8#https://liveru.cgtn.com/1000r/prog_index.m3u8
CCTV4K,http://159.75.85.63:5679/cctv4k.php#http://113.117.74.17:8081/hls/144/index.m3u8#https://live.goodiptv.club/api/cqyx.php?id=CCTV4K#https://cntv.sbs/tv?auth=2310201855&id=cctv4k#https://tv.iill.top/cqyx/CCTV4K
CCTV奥林匹克频道,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K#https://tv.iill.top/cqyx/CCTV16_4K#http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?

卫视,#genre#
湖南卫视,http://mqiptv.com:8014/ch/custom48/mqlive.m3u8#http://221.2.36.34:8888/newlive/live/hls/23/live.m3u8#https://live.goodiptv.club/api/cqyx.php?id=hunanHD#https://tv.iill.top/cqyx/hunanHD#https://cntv.sbs/tv?auth=2310201855&id=hunws
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#http://mqiptv.com:8014/ch/custom30/mqlive.m3u8#http://222.71.90.218:8888/newlive/live/hls/20/live.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8#http://111.40.196.29:443/PLTV/88888888/224/3221225525/1.m3u8
江苏卫视,http://mqiptv.com:8014/ch/custom46/mqlive.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8?#http://222.71.90.218:8888/newlive/live/hls/21/live.m3u8#http://221.2.36.34:8888/newlive/live/hls/22/live.m3u8#http://111.40.196.28:443/PLTV/88888888/224/3221225578/1.m3u8
北京卫视,http://221.213.43.82:8888/newlive/live/hls/19/live.m3u8#http://mqiptv.com:8014/ch/custom61/mqlive.m3u8#http://111.59.63.32:9901/tsfile/live/1030_1.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226222/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
东方卫视,http://mqiptv.com:8014/ch/custom58/mqlive.m3u8#http://222.71.90.218:8888/newlive/live/hls/19/live.m3u8#https://live.metshop.top/bestv.php?id=dfwshd8m/8000000#https://live.goodiptv.club/api/cqyx.php?id=shanghaiHD#http://221.2.36.34:8888/newlive/live/hls/20/live.m3u8
安徽卫视,http://mqiptv.com:8014/ch/custom62/mqlive.m3u8#https://cntv.sbs/tv?auth=2310201855&id=ahws#http://221.2.36.34:8888/newlive/live/hls/25/live.m3u8#http://111.40.196.29:443/PLTV/88888888/224/3221225570/1.m3u8#https://tv.iill.top/cqyx/anhuiSD
广东卫视,http://mqiptv.com:8014/ch/custom55/mqlive.m3u8#http://113.117.74.17:8081/hls/140/index.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8#http://222.71.90.218:8888/newlive/live/hls/23/live.m3u8#http://221.2.36.34:8888/newlive/live/hls/21/live.m3u8
深圳卫视,http://mqiptv.com:8014/ch/custom36/mqlive.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8?#http://221.2.36.34:8888/newlive/live/hls/28/live.m3u8#http://111.40.196.28:443/PLTV/88888888/224/3221225537/1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD
辽宁卫视,http://mqiptv.com:8014/ch/custom44/mqlive.m3u8#https://live.metshop.top/bestv.php?id=lnwshd8m/8000000#https://cntv.sbs/tv?auth=2310201855&id=lnws#http://221.2.36.34:8888/newlive/live/hls/43/live.m3u8#http://111.40.196.29:443/PLTV/88888888/224/3221225558/1.m3u8
